epoch,train_loss,valid_loss,accuracy,time
0,2.888076066970825,00:25
1,4.234762668609619,00:25
epoch,train_loss,valid_loss,accuracy,time
0,2.220698833465576,1.7046198844909668,0.5,00:27
epoch,train_loss,valid_loss,accuracy,time
0,1.4288654327392578,1.145838737487793,0.5621387362480164,00:35
1,1.2473514080047607,1.1268187761306763,0.5910404920578003,00:35
2,1.1065336465835571,1.1287158727645874,0.602601170539856,00:35
3,1.0497395992279053,1.1873657703399658,0.6242774724960327,00:35
4,1.0230848789215088,1.2591201066970825,0.6069363951683044,00:35
5,0.9733140468597412,1.0495749711990356,0.6011560559272766,00:35
6,0.9010246992111206,1.0326052904129028,0.5910404920578003,00:35
7,0.8464638590812683,3.849536418914795,0.573699414730072,00:35
8,0.8116468191146851,0.9695433974266052,0.6531791687011719,00:35
9,0.7462292313575745,0.9725393652915955,0.6459537744522095,00:35
10,0.7335779666900635,1.0704352855682373,0.6170520186424255,00:35
11,0.6527179479598999,0.9975250959396362,0.6647399067878723,00:35
12,0.5788052082061768,1.0334233045578003,0.6719653010368347,00:35
13,0.4794449210166931,1.1142849922180176,0.6676300764083862,00:35
14,0.4026022255420685,1.0640287399291992,0.6676300764083862,00:35
15,0.3394605219364166,1.1421254873275757,0.6488439440727234,00:35
16,0.2797502875328064,1.1539077758789062,0.6560693383216858,00:35
17,0.22766436636447906,1.1680976152420044,0.6517341136932373,00:35
18,0.20676366984844208,1.1636580228805542,0.6531791687011719,00:35
19,0.18429723381996155,1.1510913372039795,0.6560693383216858,00:35
