epoch,train_loss,valid_loss,mae,time
0,52.26022720336914,27.020633697509766,27.020633697509766,01:35
epoch,train_loss,valid_loss,mae,time
0,16.096574783325195,175.49896240234375,175.49896240234375,00:06
1,13.766718864440918,24.43659019470215,24.43659019470215,00:06
2,12.308369636535645,15.183883666992188,15.183883666992188,00:06
3,11.322250366210938,9.737168312072754,9.737168312072754,00:06
4,10.463903427124023,9.140363693237305,9.140363693237305,00:06
5,9.87864875793457,8.131559371948242,8.131559371948242,00:06
6,9.334692001342773,9.797937393188477,9.797937393188477,00:06
7,9.216676712036133,12.071751594543457,12.071751594543457,00:06
8,9.042059898376465,9.776525497436523,9.776525497436523,00:06
9,8.840757369995117,8.25736141204834,8.25736141204834,00:06
10,8.52297306060791,11.218552589416504,11.218552589416504,00:06
11,8.726298332214355,14.016451835632324,14.016451835632324,00:06
12,8.538168907165527,11.53083610534668,11.53083610534668,00:06
13,8.456884384155273,10.774109840393066,10.774109840393066,00:06
14,8.281329154968262,9.003242492675781,9.003242492675781,00:06
15,8.230268478393555,7.049499034881592,7.049499034881592,00:06
16,8.000231742858887,10.033418655395508,10.033418655395508,00:06
17,7.796490669250488,7.36000919342041,7.36000919342041,00:06
18,7.492643356323242,6.599710464477539,6.599710464477539,00:06
19,7.277979850769043,7.732293605804443,7.732293605804443,00:06
20,7.189072132110596,8.051782608032227,8.051782608032227,00:06
21,7.155880451202393,7.2392730712890625,7.2392730712890625,00:06
22,7.020786762237549,7.381544589996338,7.381544589996338,00:06
23,6.8832173347473145,6.407430648803711,6.407430648803711,00:06
24,6.681240081787109,6.718243598937988,6.718243598937988,00:06
25,6.629970550537109,9.198960304260254,9.198960304260254,00:06
26,6.589383602142334,7.311173439025879,7.311173439025879,00:06
27,6.6503801345825195,13.388354301452637,13.388354301452637,00:06
28,6.6781768798828125,6.703517913818359,6.703517913818359,00:06
29,6.517717361450195,6.813860893249512,6.813860893249512,00:06
30,6.381622791290283,5.356603622436523,5.356603622436523,00:06
31,6.294640064239502,5.9558424949646,5.9558424949646,00:06
32,6.212969779968262,6.082437515258789,6.082437515258789,00:06
33,6.139981269836426,6.278144836425781,6.278144836425781,00:06
34,5.99932861328125,5.312507152557373,5.312507152557373,00:06
35,5.838584899902344,6.153804302215576,6.153804302215576,00:06
36,5.724608898162842,5.9213786125183105,5.9213786125183105,00:06
37,5.5939178466796875,5.41021203994751,5.41021203994751,00:06
38,5.4685492515563965,5.189233303070068,5.189233303070068,00:06
39,5.3697075843811035,5.175867080688477,5.175867080688477,00:06
40,5.246665954589844,5.273659706115723,5.273659706115723,00:06
41,5.1818952560424805,5.189447402954102,5.189447402954102,00:06
42,5.141610622406006,5.044248580932617,5.044248580932617,00:06
43,4.998350620269775,5.005918025970459,5.005918025970459,00:06
44,5.004897117614746,5.046596050262451,5.046596050262451,00:06
45,4.940073490142822,5.386514663696289,5.386514663696289,00:06
46,4.9177327156066895,4.843374252319336,4.843374252319336,00:06
47,4.8513641357421875,4.819596767425537,4.819596767425537,00:06
48,4.79870080947876,4.801585674285889,4.801585674285889,00:06
49,4.754802703857422,4.818753719329834,4.818753719329834,00:06
