epoch,train_loss,valid_loss,mae,mae_angle,time
0,52.1302490234375,26.885112762451172,28.219707489013672,26.885112762451172,01:36
epoch,train_loss,valid_loss,mae,mae_angle,time
0,15.35323429107666,92.48332214355469,116.31495666503906,92.48332214355469,00:08
1,13.49682331085205,29.49350357055664,33.32365036010742,29.49350357055664,00:08
2,12.468486785888672,27.714094161987305,31.88121795654297,27.714094161987305,00:08
3,11.55904769897461,7.983248233795166,9.633520126342773,7.983248233795166,00:09
4,10.850573539733887,8.11375904083252,9.492337226867676,8.11375904083252,00:09
5,10.249207496643066,7.856113433837891,8.456790924072266,7.856113433837891,00:09
6,9.948482513427734,10.191242218017578,11.997319221496582,10.191242218017578,00:09
7,9.93967056274414,12.473636627197266,14.37308406829834,12.473636627197266,00:09
8,9.917561531066895,13.596256256103516,17.559600830078125,13.596256256103516,00:09
9,9.634530067443848,12.762669563293457,15.769649505615234,12.762669563293457,00:09
10,9.585349082946777,10.938641548156738,13.235594749450684,10.938641548156738,00:09
11,9.578150749206543,8.880830764770508,12.442859649658203,8.880830764770508,00:09
12,9.345086097717285,10.148244857788086,11.732867240905762,10.148244857788086,00:09
13,9.441909790039062,8.520723342895508,14.705227851867676,8.520723342895508,00:09
14,9.33342170715332,9.962321281433105,15.846206665039062,9.962321281433105,00:09
15,9.055476188659668,10.96822452545166,12.934781074523926,10.96822452545166,00:09
16,9.056570053100586,14.979775428771973,24.949501037597656,14.979775428771973,00:09
17,9.063952445983887,7.283668518066406,10.643613815307617,7.283668518066406,00:09
18,8.891772270202637,8.290548324584961,12.503430366516113,8.290548324584961,00:09
19,8.705451011657715,6.254397869110107,16.116670608520508,6.254397869110107,00:09
20,8.577549934387207,9.107914924621582,22.93988609313965,9.107914924621582,00:09
21,8.8128023147583,12.497535705566406,22.582048416137695,12.497535705566406,00:09
22,8.682811737060547,6.379052639007568,22.35262680053711,6.379052639007568,00:09
23,8.504244804382324,7.207514762878418,16.710813522338867,7.207514762878418,00:09
24,8.398797988891602,7.972550868988037,16.381568908691406,7.972550868988037,00:09
25,8.35305118560791,8.555588722229004,19.820768356323242,8.555588722229004,00:09
26,8.43980884552002,5.649165153503418,23.10672950744629,5.649165153503418,00:09
27,8.418429374694824,8.069811820983887,16.25372886657715,8.069811820983887,00:09
28,8.323569297790527,6.70225191116333,23.12537956237793,6.70225191116333,00:09
29,8.213003158569336,6.069771766662598,23.09172248840332,6.069771766662598,00:09
30,8.037798881530762,5.385768413543701,21.425264358520508,5.385768413543701,00:09
31,7.84692907333374,5.9237494468688965,12.727768898010254,5.9237494468688965,00:09
32,7.688913822174072,4.999059677124023,11.905426979064941,4.999059677124023,00:09
33,7.725318908691406,6.465824604034424,13.242149353027344,6.465824604034424,00:09
34,7.5949296951293945,5.794898986816406,12.956997871398926,5.794898986816406,00:09
35,7.459313869476318,6.444164276123047,14.602742195129395,6.444164276123047,00:09
36,7.362123489379883,5.513486385345459,14.81772232055664,5.513486385345459,00:09
37,7.200350284576416,4.919152736663818,12.722420692443848,4.919152736663818,00:09
38,7.189024448394775,4.955617427825928,11.184808731079102,4.955617427825928,00:09
39,7.127978324890137,4.822393417358398,13.60399341583252,4.822393417358398,00:09
40,7.039147853851318,4.383959770202637,14.298852920532227,4.383959770202637,00:09
41,6.973495960235596,4.500181198120117,14.251407623291016,4.500181198120117,00:09
42,6.973959445953369,4.713143825531006,13.833401679992676,4.713143825531006,00:09
43,6.844027519226074,4.420016765594482,14.378073692321777,4.420016765594482,00:09
44,6.8029022216796875,4.1618170738220215,14.689631462097168,4.1618170738220215,00:09
45,6.675036430358887,4.269213676452637,14.435287475585938,4.269213676452637,00:09
46,6.580108165740967,4.114222526550293,14.285513877868652,4.114222526550293,00:09
47,6.490873336791992,3.925142526626587,13.926778793334961,3.925142526626587,00:09
48,6.413879871368408,3.947915554046631,14.137969970703125,3.947915554046631,00:09
49,6.395586967468262,3.911696434020996,13.8790922164917,3.911696434020996,00:09
